Name,Video Link,YouTube Link,Ingredients,Overview ,Directions,Benefits ,Category,Diet Type,Protein Type,Protein,Carbs,Fats,Calories,Meal Replacement,Gluten Free,Nut Free,Soy Free,Caffeine Free,Sugar Free
Hydration bomb,,,"1 cup watermelon, 3/4 cup pineapple, 1/2 pc passion fruit (or 2 teaspoon passion fruit pulp), 1 tablespoon lemon balm leaves (without stems), water after need (1 1/2 tablespoon or more), 1 leaf lemon balm for garnishing",This smoothie is a hydration bomb. Great after training or as a part of reconvalescence after sickness or injury. Great for optimal hydration in hot environments. ,"-        Cut watermelon and pineapple into smaller pieces
-        Open passion fruit and scoop out the pulp
-        Remove stems from lemon balm (use the leaves only)
-        Put all ingredients into a blender, add water and blend well together
-        Serve with a piece of lemon balm on top and enjoy ☺ ","Hydration
Reconvalescence 
after sickness or injury",Low Carb Smoothies,,,1.5 g,22.7 g,0.4 g,100.6,no,yes,yes,yes,yes,yes
Piña Colada,,,"1 cup pineapple, 1/2 pc mango (ca 150 g), 1/2 pc passion fruit (or 2 teaspoon passion fruit pulp), 4 pc cucumber slices (ca 30 g), 1 1/2 tablespoon (20 ml) fresh coconut water, desiccated coconut (ca 1/2 teaspoon) and 1 thin slice cucumber for garnishing","This smoothie is great for hydration, detoxification and simply to bring a tropical summer vibe into your home. ","-        Cut pineapple and mango into smaller pieces
-        Open passion fruit and scoop out the pulp
-        Slice cucumber into round thick slices
-        Put all ingredients into a blender, add coconut water and blend well together
-        Serve with desiccated coconut and one thin cucumber slice on top and enjoy ☺ 
","Hydration, 
Detoxification, 
Tropical vibe",Low Carb Smoothies,,,2.9 g,39.6 g,4.1 g,216,no,yes,yes,yes,yes,yes
Heavy metal detox and Immunity booster,,,"1 pc mango (ca 300 g), 1 big handful parsley (ca 5 g), 1/2 teaspoon turmeric, 1/2 teaspoon ginger, 1 teaspoon fresh tamarind (or tamarind paste), 1/3 cup (ca 80 ml) freshly squeezed orange juice ",This smoothie is amazing immunity booster and inflamation figher as well as support for detoxification. ,"-        Squeeze couple of oranges or buy a freshly made cold-pressed orange juice 
-        Cut mango, turmeric and ginger into smaller pieces
-        Wash and rinse parsley well and cut it into smaller pieces, remove stalks if you desire 
-        Remove stones from tamarind and cut them into smaller pieces or add 1 teaspoon of tamarind paste instead if you are using that
-        Put all ingredients into a blender, add orange juice and blend well together
-        Serve with grated ginger or turmeric on top and enjoy ☺ 
","Anti-inflammatory, 
Detoxification, 
Inflamation fighter",Anti-Inflammatory Smoothies,,,3.4 g,49.8 g,1.6 g,232,yes,yes,yes,yes,yes,yes
Green Goddess ,,,"2 1/2 banana, 1/2 celery stalk, 4 pc cucumber slices (ca 30 g), 1 small stalk Aloe Vera (ca 70 g), 1 small head Bok Choy (ca 40 g), 3 tablespoon fresh coconut water (ca 45 ml), Aloe Vera for garnishing","This smoothie is alkalizing, anti-inflammatory, regulating blood sugar and supportive for diabetes patients","-        Cut bananas, celery and Bok Choy into smaller pieces
-        Make 4 round cucumber slices 
-        Remove skin on Aloe Vera and use the gel inside
-        Put all ingredients into a blender, add fresh coconut water and blend well together
-        Serve with Aloe Vera on top and enjoy ☺ 
","Anti-inflammatory, 
Alkalizing, 
Blood sugar regulator",Anti-Inflammatory Smoothies,,,4.1 g,53.7 g,1.1 g,268.5,yes,yes,yes,yes,yes,yes
Antioxidant bomb,,,"1 1/2 banana, 1 cup (ca 150 g) frozen blueberries, 2 small soft dried dates (ca 10 g), 3 leaves kale (ca 30 g) - curly kale or any other type, 3 tablespoon (ca 45 ml) fresh coconut water, cocoa nibs and dried Goji berries for garnishing","This smoothie is fullpacked with anti-oxidants as well as high dose of vit. K, supporting blood clotting and building up the bones ","-        Cut bananas into smaller pieces
-        Remove stones from dates and cut them into smaller pieces
-        Remove stems from kale and cut or rip the leaves into smaller pieces
-        Put all ingredients into a blender, add frozen blueberries and fresh coconut water and blend well together
-        Serve with cocoa nibs and Goji berries on top and enjoy ☺ 
","Antioxidants, 
Blood clotting, 
Bones health",Superfood smoothies,,,4.6 g,58.8 g,3.8 g,305.1,yes,yes,yes,yes,yes,yes
Dragon fruit Cream,,,"1 1/2 banana, 1 package frozen dragon fruit or 1/4 pc fresh dragon fruit (ca 100 g), 2 tablespoon dried Goji berries, 2 tabelespoon (ca 30 ml) fresh coconut water, cocoa nibs and Goji berries for garnishing","Amazing ,,nice cream,, (a vegan ice-cream). Meal replacement. Gut and liver support. An iron bomb. Reduces anxiety and can prevent cancer. ","-        Cut bananas and dragon fruit into smaller pieces
-        Remove stones from dates and cut them into smaller pieces
-        Put all ingredients into a blender, add Goji berries and fresh coconut water and blend well together 
-        Add water little by little ! We wanna create an ,,ice-cream consistence,, not a watery smoothie
-        Serve with cocoa nibs and dried Goji berries on top and enjoy ☺
","Gut and liver health, 
Iron rich, 
Reduces anxiety",Superfood smoothies,,,7.1 g,62.3 g,4.2 g,333.5,yes,yes,yes,yes,yes,yes
Acai-mulberry smoothie,,,"1 1/2 banana, 100gr (1 package) frozen or fresh acai pulp, 2 leaves kale (green curly or another type), 5 small dates (ca 30g), 2 tablespoon mulberries (use blueberries or any othe berries if mulberries are not available), 1 tablespoon water","This smoothie helps to regulate digestion, supports brain health and strengthens immune system.","- Cut bananas and kale into smaller pieces, remove stems from kale. 
  - Remove stones from dates and cut them into smaller pieces. 
  - Put banans, kale, dates, acai and mulberries into a blender. 
  - Blend well together. 
  - Serve with mulberries on top and enjoy ☺",Digestion. Braiin health. Immunity. Prevents Cold and Flu.,Superfood Smoothies,,,5.6g,67.4,7.1g,319.6,yes,yes,yes,yes,yes,
Sweet Potato Pie,,,"1 small sweet potato, peeled and chopped, ½ cup oat milk, 1 tsp maple syrup, ½ tsp cinnamon, 1 frozen banana, 1 tbs almond butter, 1 scoop vanilla plant-based protein powder, ½ cup ice","Fall into the season with this healthy and delicious sweet potato pie smoothie, high in fiber, protein, and vitamin A!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Meal Replacement Smoothies,Plant Based,Plant Based,31.4 g,68.7 g,13.1 g,498,Yes,Yes,Yes,Yes,Yes,No
Sweet Peach,,,"½ frozen banana, 1 peach, 1/2 cup almond milk, 1 tbs flax seed, 1/2 tsp ground cinnamon, 1 cup spinach, 1 scoops plant-based protein powder, ½ cup ice","This smoothie is filled with supefoods that are not only so delicious, but full of healthy nutrients to keep you energized all day long!",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Energy,Superfood Smoothies,Vegan ,Plant Based,17.7 g,42.2 g,6 g,275,No,Yes,No,Yes,Yes,Yes
Veggie Apple Smoothie,,,"1 medium green apple, ¼ cup light coconut milk, 1 stalk celery, ½ small cucumber, ½ cup spinach, 1 lemon, juiced, 1 lime, juiced , ½ cup ice, ½ cup water","This delicious and fresh smoothie will kickstart your morning! With lots of vitamin C and iron, you’re sure to start the day right with this one.",1. Combine all ingredients in a blender. Add more ice or water to reach the desired consistency. ,Appearance,Anti Inflammatory Smoothies,Vegan ,Plant Based,3.9 g,37.9 g,0.72 g,153,No,Yes,Yes,Yes,Yes,Yes
